1500
DONNA, A10 (Silver, 8TB), -2, Mauritania, 65230358
SHARON, W20 (Silver, 2TB), 1, Sweden, 1850236507
CYNTHIA, W20 (Black, 6TB), 2, Gabon, 2339159772
HELEN, X100L (Black, 8TB), -1, Timor L'Este, 68624344
RUTH, W20 (Silver, 2TB), -2, New Caledonia, 2527223
HELEN, N10 (Black, 6TB), -2, Tonga, 68624344
SANDRA, N100H (Silver, 2TB), -2, Greenland, 1856327245
MICHELLE, FLOW (Silver, 4TB), -2, Hungary, 892520735
MARIA, X100L (Black, 6TB), 2, Hungary, 73128662
SHIRLEY, X100L (Black, 4TB), 1, Malaysia, 2779595522
MELISSA, W20 (Black, 2TB), -2, Botswana, 1666162860
LISA, W20 (Silver, 4TB), -1, Oman, 2336907
CAROL, N100H (Silver, 12TB), 0, Zambia, 63893649
LISA, N10 (Black, 6TB), -1, Gabon, 2336907
DONNA, Cast-Fi 7 (Black, 2TB), 1, Cruise Ship, 65230358
SHIRLEY, Cast-Fi 7 (Silver, 12TB), 3, Trinidad &amp; Tobago, 2779595522
JESSICA, A10 (Silver, 12TB), 4, Kuwait, 3305371564
RY, A10 (Silver, 2TB), 3, Nigeria, 2631
NANCY, X100L (Black, 6TB), 3, Guernsey, 74048177
DOROTHY, X100L (Black, 2TB), 4, Macau, 1734390947
DEBORAH, W20 (Silver, 8TB), 0, Colombia, 2035460949
DEBORAH, N100H (Black, 8TB), 0, Puerto Rico, 2035460949
DEBORAH, X100L (Silver, 8TB), 1, Mauritius, 2035460949
DONNA, N100H (Black, 6TB), -1, Fiji, 65230358
CAROL, Cast-Fi 7 (Silver, 2TB), 0, Syria, 63893649
MARIA, A10 (Silver, 6TB), -3, Montenegro, 73128662
LISA, FLOW (Black, 8TB), 1, Angola, 2336907
NANCY, Cast-Fi 7 (Black, 12TB), -2, Russia, 74048177
ELIZABETH, X100L (Black, 6TB), 1, Luxembourg, 2143727456
BRENDA, N100H (Black, 2TB), 0, Niger, 1967385398
JESSICA, A10 (Black, 2TB), -2, Kenya, 3305371564
CAROL, X100L (Silver, 2TB), -3, Tanzania, 63893649
KIMBERLY, Cast-Fi 7 (Silver, 2TB), 4, Malawi, 197582061
MARIA, FLOW (Silver, 4TB), -3, Aruba, 73128662
MELISSA, W20 (Silver, 4TB), -1, Bhutan, 1666162860
RUTH, FLOW (Silver, 6TB), -3, Uruguay, 2527223
MICHELLE, A10 (Black, 4TB), -1, Argentina, 892520735
ANGELA, N10 (Black, 8TB), 1, Andorra, 1935113344
BETTY, X100L (Silver, 8TB), -1, Niger, 63091382
DONNA, A10 (Black, 8TB), -3, Czech Republic, 65230358
MARIA, A10 (Black, 4TB), 0, Niger, 73128662
HELEN, Cast-Fi 7 (Silver, 8TB), 2, Papua New Guinea, 68624344
BARBARA, FLOW (Silver, 2TB), 4, Mexico, 3910611679
KIMBERLY, X100L (Silver, 8TB), 3, Estonia, 197582061
LISA, FLOW (Black, 2TB), 4, Albania, 2336907
SANDRA, W20 (Silver, 6TB), 4, Hungary, 1856327245
DONNA, N100H (Silver, 12TB), -1, Aruba, 65230358
BETTY, W20 (Silver, 12TB), 0, Taiwan, 63091382
KIMBERLY, A10 (Black, 4TB), 0, Djibouti, 197582061
ANGELA, W20 (Black, 4TB), -1, Afghanistan, 1935113344
RY, Cast-Fi 7 (Silver, 4TB), 2, Puerto Rico, 2631
MARIA, W20 (Black, 2TB), 4, Honduras, 73128662
SHARON, A10 (Black, 12TB), 1, Lebanon, 1850236507
DONNA, Cast-Fi 7 (Silver, 6TB), -3, St Lucia, 65230358
BRENDA, W20 (Silver, 6TB), -1, Portugal, 1967385398
CAROL, W20 (Silver, 12TB), -1, United Arab Emirates, 63893649
LAURA, Cast-Fi 7 (Black, 6TB), 0, Zambia, 72208303
DONNA, A10 (Black, 6TB), 3, Trinidad &amp; Tobago, 65230358
SHARON, N100H (Silver, 6TB), -2, Seychelles, 1850236507
BRENDA, X100L (Silver, 2TB), 0, Nicaragua, 1967385398
JESSICA, A10 (Black, 2TB), -2, Cameroon, 3305371564
SANDRA, N100H (Black, 6TB), -2, Falkland Islands, 1856327245
PATRICIA, FLOW (Black, 8TB), -3, Nicaragua, 2026889313
CAROL, W20 (Silver, 2TB), -3, Macau, 63893649
AMY, X100L (Silver, 2TB), 1, Croatia, 64941
BARBARA, W20 (Black, 6TB), 2, Haiti, 3910611679
NANCY, N100H (Silver, 2TB), 4, Oman, 74048177
BRENDA, W20 (Black, 12TB), -2, Netherlands, 1967385398
ELIZABETH, A10 (Black, 12TB), 0, Yemen, 2143727456
ELIZABETH, A10 (Silver, 4TB), -2, Guatemala, 2143727456
RUTH, W20 (Black, 6TB), 2, Lithuania, 2527223
SUSAN, Cast-Fi 7 (Silver, 2TB), 3, Bahamas, 79266334
HELEN, A10 (Black, 6TB), 4, Ghana, 68624344
MARGARET, W20 (Silver, 6TB), 4, Thailand, 3269182743
NANCY, N10 (Black, 2TB), 1, Sri Lanka, 74048177
CYNTHIA, X100L (Black, 2TB), 3, Cayman Islands, 2339159772
BRENDA, Cast-Fi 7 (Silver, 8TB), 1, Mongolia, 1967385398
HELEN, Cast-Fi 7 (Silver, 2TB), 0, Luxembourg, 68624344
NANCY, A10 (Black, 6TB), -3, Bhutan, 74048177
KIMBERLY, W20 (Silver, 12TB), 1, Serbia, 197582061
BRENDA, FLOW (Black, 8TB), 1, Saudi Arabia, 1967385398
DEBORAH, Cast-Fi 7 (Black, 4TB), 4, Russia, 2035460949
KAREN, X100L (Silver, 2TB), 1, Zambia, 71281509
JENNIFER, X100L (Black, 4TB), -2, Nicaragua, 5055424187
SHARON, N100H (Black, 2TB), 2, Latvia, 1850236507
ANGELA, N10 (Black, 4TB), 0, Nicaragua, 1935113344
PATRICIA, W20 (Silver, 4TB), 3, Jamaica, 2026889313
RUTH, FLOW (Silver, 12TB), 0, Bahamas, 2527223
AMY, FLOW (Silver, 6TB), -3, Algeria, 64941
SHARON, A10 (Silver, 2TB), 4, Chad, 1850236507
LAURA, X100L (Silver, 6TB), -1, Equatorial Guinea, 72208303
SUSAN, Cast-Fi 7 (Silver, 6TB), -1, Malaysia, 79266334
DEBORAH, W20 (Silver, 2TB), 4, Virgin Islands (US), 2035460949
LINDA, A10 (Silver, 4TB), -2, Cameroon, 72439470
LAURA, W20 (Silver, 4TB), 4, Lebanon, 72208303
BETTY, N10 (Silver, 6TB), 1, Malta, 63091382
BRENDA, FLOW (Silver, 8TB), 1, Israel, 1967385398
BARBARA, N100H (Black, 8TB), 1, Denmark, 3910611679
KIMBERLY, A10 (Black, 2TB), 1, Ghana, 197582061
JESSICA, Cast-Fi 7 (Black, 6TB), -3, Cuba, 3305371564
BETTY, W20 (Silver, 6TB), 1, Ireland, 63091382
RY, N100H (Silver, 8TB), -3, Russia, 2631
KAREN, N100H (Black, 8TB), -2, Japan, 71281509
MELISSA, N100H (Silver, 2TB), -2, Japan, 1666162860
DOROTHY, Cast-Fi 7 (Black, 6TB), -3, Oman, 1734390947
DONNA, FLOW (Silver, 8TB), 1, Tunisia, 65230358
CAROL, W20 (Silver, 2TB), -2, Ireland, 63893649
SHARON, N10 (Black, 4TB), 2, Ethiopia, 1850236507
BRENDA, FLOW (Black, 6TB), 0, Zimbabwe, 1967385398
MARIA, A10 (Silver, 4TB), -1, Hong Kong, 73128662
MARGARET, N100H (Black, 8TB), 4, St Kitts &amp; Nevis, 3269182743
MICHELLE, N10 (Black, 4TB), 0, Azerbaijan, 892520735
AMY, Cast-Fi 7 (Silver, 12TB), 1, Morocco, 64941
SHARON, W20 (Black, 8TB), -1, Kyrgyz Republic, 1850236507
LAURA, Cast-Fi 7 (Silver, 12TB), 0, Honduras, 72208303
BETTY, Cast-Fi 7 (Black, 6TB), 4, Falkland Islands, 63091382
BRENDA, W20 (Silver, 2TB), 4, Benin, 1967385398
DONNA, W20 (Silver, 4TB), -3, Germany, 65230358
AMY, A10 (Silver, 2TB), 3, Serbia, 64941
LISA, W20 (Black, 6TB), -3, Dominican Republic, 2336907
RUTH, N10 (Silver, 12TB), 1, Ghana, 2527223
KAREN, W20 (Silver, 8TB), -2, Denmark, 71281509
BARBARA, A10 (Silver, 6TB), 2, Romania, 3910611679
NANCY, A10 (Silver, 4TB), 1, Latvia, 74048177
SANDRA, N10 (Silver, 12TB), 3, South Africa, 1856327245
SHIRLEY, W20 (Black, 12TB), -3, Bahamas, 2779595522
CAROL, FLOW (Black, 12TB), -3, Burkina Faso, 63893649
KAREN, X100L (Silver, 4TB), 3, Albania, 71281509
CYNTHIA, N10 (Black, 6TB), 4, Malta, 2339159772
PATRICIA, FLOW (Silver, 2TB), 1, Colombia, 2026889313
LINDA, A10 (Black, 8TB), 3, British Virgin Islands, 72439470
SHARON, A10 (Black, 4TB), 1, Bahrain, 1850236507
SARAH, W20 (Silver, 4TB), 3, Belarus, 78669547
SHARON, FLOW (Black, 4TB), 0, San Marino, 1850236507
JESSICA, N10 (Silver, 2TB), -3, Antigua &amp; Barbuda, 3305371564
LINDA, Cast-Fi 7 (Silver, 4TB), 4, Serbia, 72439470
CYNTHIA, W20 (Silver, 2TB), -3, Ghana, 2339159772
MARGARET, FLOW (Silver, 6TB), -2, Poland, 3269182743
ELIZABETH, A10 (Black, 6TB), 0, Belgium, 2143727456
BETTY, Cast-Fi 7 (Black, 12TB), 4, Antigua &amp; Barbuda, 63091382
MARGARET, W20 (Silver, 4TB), 1, Lebanon, 3269182743
BARBARA, A10 (Silver, 4TB), 1, Algeria, 3910611679
MARIA, Cast-Fi 7 (Black, 8TB), -1, United Kingdom, 73128662
BRENDA, X100L (Silver, 2TB), 3, Anguilla, 1967385398
PATRICIA, N10 (Black, 2TB), 4, Vietnam, 2026889313
ANGELA, N10 (Silver, 2TB), 3, Nicaragua, 1935113344
DOROTHY, N100H (Silver, 6TB), 2, Zimbabwe, 1734390947
AMY, W20 (Silver, 8TB), 0, Israel, 64941
LINDA, FLOW (Silver, 12TB), -2, Germany, 72439470
SANDRA, X100L (Silver, 6TB), -1, Cook Islands, 1856327245
MARGARET, W20 (Black, 8TB), 1, Sri Lanka, 3269182743
AMY, X100L (Silver, 2TB), 1, United Kingdom, 64941
BETTY, A10 (Silver, 12TB), 1, Kazakhstan, 63091382
KAREN, W20 (Black, 6TB), 2, Croatia, 71281509
JESSICA, A10 (Silver, 4TB), -1, Turkmenistan, 3305371564
BARBARA, Cast-Fi 7 (Black, 2TB), 2, Fiji, 3910611679
LINDA, Cast-Fi 7 (Black, 4TB), 0, Paraguay, 72439470
SHIRLEY, N100H (Silver, 6TB), -1, Papua New Guinea, 2779595522
MICHELLE, N10 (Silver, 6TB), 1, Afghanistan, 892520735
AMY, W20 (Silver, 6TB), 4, Zambia, 64941
MARGARET, X100L (Silver, 8TB), 3, Trinidad &amp; Tobago, 3269182743
BARBARA, N100H (Black, 8TB), 4, Iraq, 3910611679
RUTH, FLOW (Black, 2TB), -3, China, 2527223
PATRICIA, N10 (Silver, 4TB), 3, Cape Verde, 2026889313
CYNTHIA, X100L (Black, 2TB), 1, Samoa, 2339159772
DEBORAH, N10 (Silver, 12TB), 2, Bangladesh, 2035460949
KIMBERLY, X100L (Silver, 12TB), 1, Philippines, 197582061
DONNA, N100H (Silver, 6TB), -2, Gabon, 65230358
MICHELLE, Cast-Fi 7 (Black, 12TB), 2, Qatar, 892520735
HELEN, FLOW (Silver, 8TB), -2, Cruise Ship, 68624344
DOROTHY, FLOW (Black, 6TB), 1, Liechtenstein, 1734390947
LINDA, FLOW (Silver, 4TB), 0, Slovenia, 72439470
SARAH, W20 (Silver, 12TB), -2, Palestine, 78669547
MICHELLE, N10 (Black, 12TB), -2, Kenya, 892520735
RUTH, Cast-Fi 7 (Black, 6TB), 4, Indonesia, 2527223
MICHELLE, A10 (Black, 12TB), -2, Samoa, 892520735
LINDA, W20 (Silver, 6TB), -2, United Arab Emirates, 72439470
RUTH, X100L (Silver, 12TB), 0, Slovakia, 2527223
ELIZABETH, A10 (Black, 12TB), 3, Saint Pierre &amp; Miquelon, 2143727456
SUSAN, W20 (Black, 2TB), 4, Austria, 79266334
ANGELA, X100L (Black, 4TB), -2, Rwanda, 1935113344
MELISSA, W20 (Black, 6TB), 2, Slovenia, 1666162860
RY, Cast-Fi 7 (Black, 8TB), 2, Denmark, 2631
DEBORAH, Cast-Fi 7 (Black, 2TB), 3, United Kingdom, 2035460949
ANGELA, N10 (Silver, 12TB), 2, Iceland, 1935113344
DOROTHY, N100H (Silver, 4TB), 4, Egypt, 1734390947
HELEN, N100H (Black, 8TB), 1, Kenya, 68624344
DONNA, N10 (Silver, 12TB), 0, Bhutan, 65230358
DEBORAH, N10 (Black, 4TB), 4, Spain, 2035460949
HELEN, A10 (Black, 6TB), -3, France, 68624344
MICHELLE, W20 (Silver, 2TB), 4, French West Indies, 892520735
LINDA, X100L (Black, 12TB), -2, Tanzania, 72439470
ELIZABETH, X100L (Silver, 8TB), 0, United Kingdom, 2143727456
LAURA, Cast-Fi 7 (Black, 6TB), 4, Romania, 72208303
LAURA, W20 (Silver, 8TB), -3, Jersey, 72208303
SANDRA, N10 (Black, 6TB), 1, Ukraine, 1856327245
JENNIFER, FLOW (Black, 6TB), -2, Gabon, 5055424187
DEBORAH, N100H (Black, 6TB), 4, Uruguay, 2035460949
SHIRLEY, N100H (Black, 4TB), 3, Tonga, 2779595522
NANCY, W20 (Black, 8TB), -3, Congo, 74048177
RY, FLOW (Black, 6TB), 3, Angola, 2631
MARGARET, W20 (Silver, 6TB), 4, Tunisia, 3269182743
JESSICA, FLOW (Black, 2TB), -2, Tajikistan, 3305371564
NANCY, FLOW (Black, 12TB), 0, Angola, 74048177
CYNTHIA, A10 (Black, 8TB), 1, Austria, 2339159772
HELEN, A10 (Black, 8TB), -3, Cayman Islands, 68624344
ELIZABETH, A10 (Silver, 12TB), -3, Kenya, 2143727456
SUSAN, A10 (Black, 6TB), -3, Austria, 79266334
SHIRLEY, N10 (Silver, 6TB), 2, Honduras, 2779595522
SHIRLEY, W20 (Black, 2TB), 3, Turkmenistan, 2779595522
RY, FLOW (Silver, 6TB), 0, Indonesia, 2631
SHARON, X100L (Silver, 12TB), 3, Uzbekistan, 1850236507
DEBORAH, A10 (Silver, 12TB), 0, Bulgaria, 2035460949
MARGARET, Cast-Fi 7 (Silver, 12TB), -1, Aruba, 3269182743
JENNIFER, Cast-Fi 7 (Black, 2TB), 1, Israel, 5055424187
CAROL, N10 (Silver, 6TB), -2, Poland, 63893649
SUSAN, N10 (Silver, 4TB), -2, Italy, 79266334
LISA, N100H (Silver, 4TB), -1, Iran, 2336907
SHARON, A10 (Black, 6TB), 4, El Salvador, 1850236507
ANGELA, N10 (Silver, 2TB), 4, Uzbekistan, 1935113344
DONNA, A10 (Black, 12TB), 1, French Polynesia, 65230358
LAURA, X100L (Silver, 6TB), -2, Ecuador, 72208303
AMY, A10 (Silver, 4TB), 2, Cruise Ship, 64941
MICHELLE, Cast-Fi 7 (Black, 2TB), 1, New Caledonia, 892520735
ELIZABETH, Cast-Fi 7 (Black, 12TB), 1, Barbados, 2143727456
BETTY, FLOW (Black, 6TB), 1, Georgia, 63091382
MELISSA, A10 (Silver, 2TB), 2, Iraq, 1666162860
LINDA, FLOW (Black, 2TB), -3, Georgia, 72439470
MARIA, N100H (Silver, 4TB), -1, Chad, 73128662
SUSAN, FLOW (Silver, 2TB), 4, Egypt, 79266334
DEBORAH, N10 (Black, 2TB), 4, Bhutan, 2035460949
LISA, N100H (Silver, 12TB), -3, Tajikistan, 2336907
SHIRLEY, X100L (Black, 4TB), -2, Bangladesh, 2779595522
LAURA, N10 (Silver, 12TB), 3, Sri Lanka, 72208303
MARGARET, FLOW (Black, 8TB), 3, Benin, 3269182743
SARAH, X100L (Silver, 8TB), -2, Liberia, 78669547
RY, N10 (Silver, 2TB), 3, Montserrat, 2631
KAREN, W20 (Black, 2TB), 1, Japan, 71281509
DEBORAH, N100H (Silver, 4TB), 1, Israel, 2035460949
KIMBERLY, W20 (Black, 12TB), 2, Finland, 197582061
RY, X100L (Black, 4TB), -2, Jersey, 2631
JESSICA, A10 (Silver, 12TB), 0, Netherlands, 3305371564
SUSAN, W20 (Silver, 12TB), -1, Namibia, 79266334
RUTH, FLOW (Black, 2TB), 0, Australia, 2527223
KIMBERLY, A10 (Silver, 12TB), 3, Belgium, 197582061
CAROL, N10 (Black, 8TB), 0, Germany, 63893649
LAURA, FLOW (Black, 8TB), -3, Tajikistan, 72208303
SHARON, A10 (Silver, 6TB), 2, Portugal, 1850236507
PATRICIA, N10 (Silver, 12TB), 4, Liechtenstein, 2026889313
SANDRA, W20 (Black, 12TB), 0, Latvia, 1856327245
SARAH, FLOW (Black, 12TB), 2, Australia, 78669547
MARIA, Cast-Fi 7 (Black, 6TB), 3, Zambia, 73128662
KIMBERLY, FLOW (Black, 12TB), -1, Denmark, 197582061
MARGARET, FLOW (Silver, 2TB), 1, Pakistan, 3269182743
RY, N100H (Black, 8TB), 0, Finland, 2631
KAREN, N100H (Black, 4TB), 1, Bhutan, 71281509
AMY, FLOW (Silver, 4TB), 3, Armenia, 64941
LISA, X100L (Black, 6TB), 4, Bermuda, 2336907
KAREN, W20 (Black, 2TB), -1, Vietnam, 71281509
ELIZABETH, N10 (Silver, 12TB), -1, St Kitts &amp; Nevis, 2143727456
LISA, N10 (Silver, 6TB), 2, Jersey, 2336907
SARAH, N100H (Silver, 8TB), -2, Zimbabwe, 78669547
LISA, X100L (Black, 8TB), 4, Guam, 2336907
BRENDA, A10 (Black, 2TB), -3, Venezuela, 1967385398
RY, A10 (Silver, 6TB), 4, Uruguay, 2631
SANDRA, W20 (Silver, 4TB), -3, Gambia, 1856327245
KAREN, W20 (Silver, 12TB), 3, Mongolia, 71281509
MARIA, A10 (Silver, 12TB), 0, Tanzania, 73128662
DONNA, A10 (Silver, 6TB), 4, Serbia, 65230358
BRENDA, N10 (Silver, 8TB), -1, Gambia, 1967385398
DONNA, W20 (Silver, 12TB), 0, Barbados, 65230358
SHARON, X100L (Black, 12TB), -2, Ethiopia, 1850236507
DONNA, Cast-Fi 7 (Silver, 8TB), -2, Slovenia, 65230358
LAURA, X100L (Black, 2TB), -1, Tunisia, 72208303
SHARON, A10 (Black, 12TB), -3, Nigeria, 1850236507
MARGARET, N10 (Silver, 12TB), -3, Guinea, 3269182743
BETTY, FLOW (Black, 4TB), -2, Sweden, 63091382
DEBORAH, N100H (Silver, 6TB), 0, Suriname, 2035460949
HELEN, N10 (Silver, 2TB), -2, St Kitts &amp; Nevis, 68624344
BRENDA, Cast-Fi 7 (Silver, 12TB), -3, Estonia, 1967385398
MARIA, FLOW (Black, 4TB), 1, Mongolia, 73128662
LAURA, A10 (Silver, 6TB), 3, Angola, 72208303
SHARON, X100L (Black, 2TB), -1, Azerbaijan, 1850236507
DONNA, A10 (Black, 2TB), 0, Jersey, 65230358
MELISSA, Cast-Fi 7 (Black, 4TB), 3, Greece, 1666162860
MELISSA, Cast-Fi 7 (Silver, 12TB), 3, Mauritania, 1666162860
BRENDA, W20 (Black, 8TB), -1, Uganda, 1967385398
CYNTHIA, FLOW (Black, 4TB), -1, Bosnia &amp; Herzegovina, 2339159772
LAURA, N10 (Silver, 12TB), -3, Antigua &amp; Barbuda, 72208303
DONNA, FLOW (Silver, 8TB), 3, Poland, 65230358
DONNA, W20 (Black, 6TB), 0, Faroe Islands, 65230358
SARAH, FLOW (Silver, 12TB), -1, Monaco, 78669547
SUSAN, N10 (Silver, 12TB), 1, Mongolia, 79266334
JENNIFER, W20 (Black, 6TB), -3, Lesotho, 5055424187
BRENDA, X100L (Black, 12TB), -2, Seychelles, 1967385398
JESSICA, N100H (Silver, 8TB), 3, Macau, 3305371564
CYNTHIA, Cast-Fi 7 (Black, 6TB), 0, Bhutan, 2339159772
KAREN, X100L (Black, 6TB), 1, Japan, 71281509
ANGELA, Cast-Fi 7 (Black, 4TB), -1, Austria, 1935113344
LINDA, FLOW (Silver, 6TB), -1, Slovakia, 72439470
KIMBERLY, N100H (Silver, 12TB), -3, Antigua &amp; Barbuda, 197582061
BARBARA, W20 (Black, 12TB), -3, Bulgaria, 3910611679
JESSICA, N10 (Silver, 4TB), 4, Aruba, 3305371564
RY, Cast-Fi 7 (Silver, 12TB), -2, Burkina Faso, 2631
DEBORAH, X100L (Black, 4TB), -1, Angola, 2035460949
AMY, Cast-Fi 7 (Silver, 4TB), 1, Niger, 64941
DONNA, N100H (Silver, 12TB), 1, Guinea Bissau, 65230358
LAURA, FLOW (Black, 4TB), -1, Turks &amp; Caicos, 72208303
LINDA, A10 (Silver, 6TB), 2, Armenia, 72439470
SUSAN, X100L (Black, 8TB), -3, Equatorial Guinea, 79266334
CYNTHIA, W20 (Black, 6TB), -1, Ecuador, 2339159772
BARBARA, N100H (Black, 12TB), -3, Tonga, 3910611679
LISA, N100H (Silver, 4TB), 0, Kuwait, 2336907
RUTH, N100H (Black, 6TB), 1, Mali, 2527223
PATRICIA, X100L (Silver, 6TB), 4, Australia, 2026889313
AMY, N10 (Black, 12TB), -2, Uzbekistan, 64941
LISA, W20 (Black, 4TB), 0, Lebanon, 2336907
SHARON, A10 (Black, 12TB), -1, Mali, 1850236507
PATRICIA, N10 (Silver, 4TB), -1, Hong Kong, 2026889313
SHIRLEY, W20 (Black, 12TB), 0, Indonesia, 2779595522
NANCY, N100H (Black, 4TB), 2, Papua New Guinea, 74048177
BRENDA, A10 (Silver, 12TB), 3, Togo, 1967385398
JESSICA, A10 (Black, 8TB), 1, Ghana, 3305371564
MICHELLE, W20 (Black, 6TB), 0, Cuba, 892520735
RUTH, FLOW (Black, 4TB), -1, Congo, 2527223
SANDRA, N100H (Black, 12TB), 0, Gambia, 1856327245
MICHELLE, Cast-Fi 7 (Black, 6TB), -2, Iceland, 892520735
DONNA, FLOW (Silver, 4TB), -2, Albania, 65230358
LAURA, A10 (Silver, 2TB), -2, French West Indies, 72208303
HELEN, W20 (Black, 12TB), 4, Greece, 68624344
MARIA, W20 (Black, 12TB), 4, Syria, 73128662
JENNIFER, N100H (Black, 6TB), 4, Macau, 5055424187
MARIA, N10 (Black, 4TB), 3, Trinidad &amp; Tobago, 73128662
RUTH, A10 (Black, 6TB), 3, Slovakia, 2527223
RUTH, N100H (Silver, 12TB), 3, Philippines, 2527223
JENNIFER, N10 (Silver, 8TB), 3, United Arab Emirates, 5055424187
DOROTHY, X100L (Silver, 4TB), 1, Aruba, 1734390947
SARAH, N100H (Black, 8TB), -2, Guam, 78669547
JESSICA, N100H (Black, 12TB), -3, Italy, 3305371564
MELISSA, FLOW (Black, 4TB), 3, Uzbekistan, 1666162860
JESSICA, X100L (Black, 2TB), 1, French Polynesia, 3305371564
DOROTHY, FLOW (Black, 4TB), -1, Burkina Faso, 1734390947
NANCY, A10 (Silver, 4TB), 1, Saudi Arabia, 74048177
BETTY, FLOW (Silver, 2TB), 2, Chile, 63091382
CAROL, W20 (Silver, 12TB), 1, Ghana, 63893649
BARBARA, N10 (Silver, 2TB), 2, South Korea, 3910611679
BRENDA, N100H (Silver, 4TB), 3, Faroe Islands, 1967385398
JENNIFER, N10 (Black, 4TB), -1, Libya, 5055424187
AMY, FLOW (Black, 4TB), 4, Dominican Republic, 64941
ANGELA, N100H (Black, 8TB), -2, Rwanda, 1935113344
DONNA, N10 (Black, 2TB), -3, St. Lucia, 65230358
CYNTHIA, W20 (Black, 8TB), -2, Brazil, 2339159772
LISA, A10 (Silver, 2TB), 3, Romania, 2336907
DEBORAH, W20 (Silver, 6TB), 1, New Zealand, 2035460949
KIMBERLY, N10 (Silver, 2TB), 4, Bermuda, 197582061
MELISSA, X100L (Black, 12TB), 3, Jersey, 1666162860
AMY, N100H (Silver, 2TB), 0, Yemen, 64941
NANCY, A10 (Silver, 12TB), 2, Greenland, 74048177
MICHELLE, Cast-Fi 7 (Silver, 8TB), 2, Tajikistan, 892520735
DOROTHY, X100L (Silver, 4TB), -3, St Lucia, 1734390947
SHARON, W20 (Black, 4TB), 2, Slovenia, 1850236507
JESSICA, FLOW (Black, 6TB), 1, Sweden, 3305371564
SARAH, X100L (Silver, 4TB), -1, New Zealand, 78669547
KIMBERLY, W20 (Silver, 8TB), -2, Papua New Guinea, 197582061
RY, X100L (Silver, 2TB), 2, Czech Republic, 2631
HELEN, X100L (Black, 8TB), -3, Afghanistan, 68624344
DONNA, W20 (Silver, 6TB), 4, South Africa, 65230358
MARGARET, W20 (Silver, 6TB), 4, Venezuela, 3269182743
KIMBERLY, Cast-Fi 7 (Black, 4TB), 3, Costa Rica, 197582061
BRENDA, X100L (Black, 2TB), -1, Niger, 1967385398
SARAH, X100L (Black, 4TB), -2, Bosnia &amp; Herzegovina, 78669547
MICHELLE, N100H (Black, 8TB), -1, Pakistan, 892520735
NANCY, FLOW (Silver, 6TB), 3, Brunei, 74048177
SUSAN, A10 (Silver, 8TB), 3, Panama, 79266334
CYNTHIA, N100H (Black, 2TB), -1, South Korea, 2339159772
BETTY, X100L (Silver, 2TB), 2, Barbados, 63091382
LISA, N100H (Black, 6TB), 1, Cuba, 2336907
SARAH, X100L (Black, 4TB), 2, Bolivia, 78669547
RY, N10 (Silver, 8TB), 4, Zambia, 2631
NANCY, W20 (Silver, 12TB), 3, Poland, 74048177
BETTY, N10 (Black, 6TB), 3, Gabon, 63091382
MELISSA, W20 (Black, 8TB), 1, Bulgaria, 1666162860
JESSICA, Cast-Fi 7 (Black, 12TB), -3, Algeria, 3305371564
SHIRLEY, N10 (Silver, 6TB), -3, Mexico, 2779595522
LISA, N100H (Silver, 2TB), -3, Ecuador, 2336907
HELEN, W20 (Black, 6TB), 4, Namibia, 68624344
SHARON, X100L (Black, 8TB), 3, Macedonia, 1850236507
SHARON, FLOW (Silver, 6TB), 0, Trinidad &amp; Tobago, 1850236507
LINDA, X100L (Black, 6TB), 1, Mauritania, 72439470
RY, N10 (Silver, 4TB), 1, United Arab Emirates, 2631
DEBORAH, N100H (Silver, 4TB), 4, Isle of Man, 2035460949
NANCY, X100L (Black, 6TB), 1, Burkina Faso, 74048177
ANGELA, W20 (Black, 6TB), 4, Bermuda, 1935113344
RUTH, A10 (Silver, 2TB), 4, Spain, 2527223
SANDRA, FLOW (Silver, 12TB), 2, South Korea, 1856327245
JENNIFER, W20 (Black, 12TB), 2, Greenland, 5055424187
MARGARET, N100H (Black, 4TB), 3, Belgium, 3269182743
MARIA, N100H (Silver, 12TB), 3, Paraguay, 73128662
NANCY, FLOW (Silver, 12TB), 2, Madagascar, 74048177
CAROL, A10 (Black, 6TB), -3, Morocco, 63893649
SARAH, N10 (Silver, 8TB), 4, Madagascar, 78669547
CYNTHIA, Cast-Fi 7 (Silver, 2TB), 2, Liberia, 2339159772
JENNIFER, N10 (Black, 6TB), -3, Mozambique, 5055424187
CAROL, FLOW (Silver, 8TB), 3, Taiwan, 63893649
LISA, N10 (Black, 6TB), 4, Singapore, 2336907
SHIRLEY, X100L (Black, 4TB), 1, Kenya, 2779595522
MICHELLE, N100H (Silver, 4TB), -2, Spain, 892520735
DEBORAH, A10 (Black, 2TB), -1, Tonga, 2035460949
MELISSA, FLOW (Silver, 6TB), -3, Seychelles, 1666162860
KAREN, W20 (Black, 2TB), 3, Greece, 71281509
CAROL, N10 (Black, 4TB), -1, Equatorial Guinea, 63893649
LINDA, FLOW (Silver, 12TB), 0, Mauritania, 72439470
MARGARET, W20 (Silver, 2TB), 0, Armenia, 3269182743
MARGARET, N100H (Silver, 6TB), 3, Albania, 3269182743
BRENDA, FLOW (Black, 8TB), 2, Isle of Man, 1967385398
DEBORAH, Cast-Fi 7 (Black, 2TB), 1, Turkey, 2035460949
AMY, Cast-Fi 7 (Silver, 2TB), -1, Liberia, 64941
